id	主题1	主题2	主题3
1	11	15	19
10	6	11	18
100	26	12	9
1000	18	21	1
10000	16	18	23
10001	24	11	1
10002	18	13	26
10003	19	17	24
10004	1	9	24
10005	15	5	18
10006	15	18	19
10007	10	14	18
10008	13	24	18
10009	15	9	4
1001	2	18	19
10010	18	8	6
10011	18	14	24
10012	25	7	12
10013	24	6	18
10014	2	19	14
10015	3	20	18
10016	19	8	9
10017	26	23	20
10018	1	16	9
10019	4	11	18
1002	6	9	2
10020	13	6	18
10021	18	14	19
10022	18	19	1
10023	18	5	1
10024	17	18	19
1003	14	8	18
1004	25	8	18
10046	22	12	18
10047	2	23	4
10048	6	3	18
10049	3	6	5
1005	9	6	18
10050	3	6	16
10051	6	3	18
10052	15	4	18
10053	9	26	18
10054	4	18	19
10055	7	18	3
10056	24	18	14
10057	17	19	18
10058	3	6	18
10059	18	7	19
1006	18	12	19
10060	4	18	19
10061	20	18	15
10062	4	1	18
10063	18	23	19
10064	1	19	26
10065	7	18	19
10066	24	5	19
1007	8	18	19
1008	4	18	19
10086	17	19	18
10087	4	17	21
10088	3	18	10
10089	16	18	19
1009	17	23	19
10090	7	19	1
10091	18	3	13
10092	23	19	18
10093	17	18	19
10094	5	25	13
10095	18	1	19
10096	15	18	8
10097	4	18	25
10098	5	18	19
10099	23	17	19
101	9	12	18
1010	13	18	19
10100	4	13	18
10101	19	23	6
10102	4	6	18
10103	5	18	24
10104	13	18	19
10105	22	24	18
10106	6	18	19
10107	4	18	19
10108	18	21	19
1011	17	22	18
1012	11	24	18
1013	7	13	16
10132	18	1	23
10133	13	4	18
10134	3	20	8
10135	18	19	1
10136	13	25	18
10137	19	23	12
10138	12	19	11
10139	26	7	19
1014	6	18	19
10140	24	14	19
10141	26	7	18
10142	26	7	18
10143	8	13	18
10144	4	11	10
10145	2	26	19
10146	2	26	9
10148	4	24	18
10149	2	11	18
1015	9	12	18
10150	4	18	19
10151	24	12	17
10152	23	15	18
10153	12	1	18
10154	3	9	8
10155	9	19	26
10156	3	24	18
10157	1	18	19
10158	2	23	15
10159	18	5	1
1016	11	18	3
10160	18	13	19
10161	10	4	8
10162	17	3	18
10163	3	24	18
10164	3	18	19
10165	25	14	17
10166	9	16	18
10167	9	26	18
10168	6	9	18
10169	9	11	18
1017	18	6	19
10170	5	18	19
10171	7	21	8
10172	18	1	19
10173	12	18	19
10174	14	19	2
10175	21	18	19
10176	5	24	18
10177	13	18	17
10178	3	18	19
10179	10	18	19
1018	21	18	19
10180	2	15	16
10181	9	2	26
10182	13	7	18
10183	18	26	19
10184	1	5	13
10185	4	16	18
10186	17	19	18
10187	24	6	18
10188	4	18	19
10189	1	18	19
1019	14	6	18
10190	6	8	4
10191	1	9	24
10192	23	16	19
10193	17	4	18
10194	13	19	18
10195	18	19	1
10196	18	16	11
10197	24	19	16
10198	17	19	18
10199	5	3	24
102	19	18	1
1020	6	18	19
10200	20	18	19
10201	2	19	17
10202	4	19	18
10203	18	13	24
10204	1	18	19
10205	4	16	17
10206	13	16	18
10207	23	25	26
10208	18	10	24
10209	16	17	23
1021	11	18	19
10210	5	18	13
10211	4	18	19
10212	12	18	3
10213	21	7	18
10214	15	10	18
10215	13	1	18
10216	21	20	25
10217	17	2	18
10218	1	6	23
10219	25	22	11
1022	12	21	18
10220	7	12	21
10221	18	1	19
10222	7	18	25
10223	6	18	22
10224	3	19	18
10225	10	8	15
10226	6	18	19
10227	21	18	26
10228	7	19	21
10229	21	24	17
1023	10	21	8
10230	4	26	18
10231	18	8	5
10232	17	20	18
10233	18	19	1
10234	4	20	18
10235	25	16	18
10236	2	15	18
10237	5	18	19
10238	3	5	15
10239	18	7	14
1024	1	9	18
10240	7	15	18
10241	18	13	17
10242	13	18	7
10243	4	3	18
10244	4	15	18
10245	19	20	12
10246	15	19	16
10247	3	13	25
10248	25	21	15
10249	13	18	24
1025	11	24	18
10250	2	1	18
10251	10	9	5
10252	10	13	18
10253	3	1	18
10254	23	18	19
10255	5	6	18
10256	5	16	18
10257	5	18	6
10258	5	6	18
10259	4	13	18
1026	18	24	19
10260	19	9	2
10261	9	20	7
10262	19	23	18
10263	17	24	4
10264	15	9	18
10265	13	18	19
10266	17	1	19
10267	18	3	19
10268	20	1	7
10269	5	3	18
1027	19	18	1
10270	22	19	14
10271	8	5	26
10272	6	24	18
10273	19	23	17
10274	17	19	24
10275	3	18	19
10276	18	3	19
10277	5	21	18
10278	15	21	3
10279	4	3	7
1028	2	15	18
10280	10	5	18
